iter	Passed	Remaining
733	18904	6851
734	18928	6824
735	18953	6798
736	18977	6772
737	19006	6747
738	19029	6720
739	19052	6694
740	19077	6668
741	19106	6643
742	19133	6618
743	19157	6591
744	19181	6565
745	19206	6539
746	19230	6513
747	19258	6488
748	19283	6462
749	19306	6435
750	19334	6410
751	19358	6384
752	19384	6358
753	19408	6332
754	19431	6305
755	19455	6279
756	19477	6252
757	19503	6226
758	19529	6201
759	19557	6175
760	19580	6149
761	19605	6123
762	19626	6096
763	19654	6071
764	19679	6045
765	19703	6018
766	19726	5992
767	19754	5967
768	19777	5940
769	19804	5915
770	19825	5888
771	19848	5862
772	19869	5835
773	19897	5809
774	19923	5784
775	19943	5756
776	19967	5730
777	19990	5704
778	20016	5678
779	20041	5652
780	20064	5626
781	20086	5599
782	20114	5574
783	20141	5549
784	20166	5523
785	20192	5497
786	20215	5471
787	20241	5445
788	20264	5419
789	20290	5393
790	20317	5368
791	20340	5342
792	20365	5316
793	20386	5289
794	20410	5263
795	20437	5237
796	20464	5212
797	20490	5186
798	20514	5160
799	20536	5134
800	20560	5107
801	20585	5082
802	20610	5056
803	20636	5030
804	20663	5005
805	20688	4979
806	20708	4952
807	20732	4926
808	20755	4900
809	20780	4874
810	20801	4847
811	20827	4822
812	20850	4795
813	20875	4770
814	20897	4743
815	20922	4717
816	20946	4691
817	20966	4664
818	20995	4639
819	21024	4615
820	21048	4589
821	21071	4562
822	21098	4537
823	21128	4512
824	21156	4487
825	21179	4461
826	21202	4435
827	21231	4410
828	21257	4384
829	21281	4358
830	21304	4332
831	21330	4307
832	21352	4280
833	21375	4254
834	21399	4228
835	21425	4203
836	21453	4178
837	21477	4151
838	21503	4126
839	21524	4099
840	21547	4073
841	21571	4047
842	21596	4022
843	21618	3995
844	21648	3970
845	21673	3945
846	21698	3919
847	21724	3893
848	21750	3868
849	21773	3842
850	21795	3816
851	21822	3790
852	21847	3765
853	21872	3739
854	21898	3713
855	21918	3687
856	21939	3660
857	21962	3634
858	21990	3609
859	22017	3584
860	22044	3558
861	22071	3533
862	22100	3508
863	22123	3482
864	22151	3457
865	22180	3432
866	22206	3406
867	22233	3381
